pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
Srimakonda,750LP,52.9%,33.4%,387.0,0.7,Darius,Jax,Camille
TTV KERBEROS LOL,750LP,52.0%,33.3%,443.0,0.8,Camille,Jax,Olaf
bluerzor,750LP,53.8%,57.5%,427.0,1.3,Elise,Graves,Vi
BÎ¯lly Butcher,749LP,54.0%,60.9%,276.0,2.3,Janna,Sona,Yuumi
FATIH KURSUN,749LP,53.0%,45.5%,431.0,0.8,Sylas,Yasuo,Zed
Daro Åysiu Lew,749LP,54.1%,53.1%,413.0,1.2,Maokai,Elise,Vi
Busco gatita,748LP,57.2%,49.1%,442.0,0.9,Miss Fortune,Sivir,Lux
Enchanters xd,748LP,53.1%,59.3%,301.0,2.4,Karma,Thresh,Nautilus
raw outlaw,747LP,54.2%,54.3%,344.0,1.8,Taliyah,Janna,Ashe
bot is so weak,745LP,52.9%,35.1%,423.0,0.6,Jax,Sion,K'Sante
UOL Sayna,744LP,57.3%,50.2%,407.0,0.9,Swain,Ziggs,Seraphine
Boukada,743LP,57.0%,58.4%,437.0,1.2,Elise,Nidalee,Maokai
RhiIech,742LP,52.2%,57.9%,452.0,1.3,Sylas,Elise,Vi
PoEs tk,741LP,53.1%,36.4%,440.0,0.5,Riven,Fiora,Malphite
Afm12,741LP,57.1%,49.6%,453.0,0.8,Caitlyn,Miss Fortune,Tristana
Plander,740LP,54.2%,50.3%,428.0,0.8,Jhin,Varus,Caitlyn
IW BAO,739LP,58.9%,58.6%,480.0,1.1,Varus,Caitlyn,Ezreal
ProtectShutdowns,738LP,59.8%,46.5%,345.0,0.7,Shen,Tahm Kench,Gnar
twitch AKEN47,737LP,55.6%,47.2%,427.0,0.8,Yasuo,Sylas,Yone
RÃ¨dÃ¶ne,736LP,54.6%,48.5%,439.0,0.9,Ezreal,Syndra,Akali
Elite500,736LP,52.3%,40.5%,434.0,0.7,Vladimir,Yone,Viktor
PederseNN,736LP,58.2%,56.0%,298.0,1.9,Seraphine,Karma,Rakan
Gilius2,736LP,53.8%,56.6%,406.0,1.2,Wukong,Graves,Rumble
coldxn,735LP,52.0%,55.9%,344.0,2.1,Pyke,Thresh,Ashe
Aimi Morii,733LP,57.4%,55.0%,451.0,1.1,Caitlyn,Draven,Ezreal
LbISAYA BASHKA,733LP,53.7%,58.9%,295.0,2.2,Karma,Thresh,Blitzcrank
Promise to Dark,733LP,54.4%,51.1%,462.0,1.4,Viego,Graves,Sylas
Betongmisch Gary,732LP,55.0%,57.8%,395.0,1.2,Gragas,Jarvan IV,Xin Zhao
Road2Narnia,730LP,54.6%,55.2%,318.0,2.6,Karma,Ashe,Nautilus
PLATEMIC,729LP,54.4%,55.0%,397.0,1.2,Viego,Maokai,Zac
CHAKIB XDDHAHAHA,729LP,57.0%,57.7%,466.0,0.9,Nidalee,Kindred,Elise
Neramin1,728LP,52.5%,55.0%,521.0,0.5,Kai'Sa,Ezreal,Caitlyn
WoW Peasant,728LP,54.0%,41.5%,429.0,0.9,K'Sante,Gragas,Fiora
pzxctqw,727LP,53.2%,37.0%,406.0,1.2,Camille,Olaf,K'Sante
Maik D Bike,727LP,51.9%,48.0%,446.0,0.8,Sylas,Ryze,Akali
SPEEDOBEAR,725LP,52.0%,59.1%,322.0,1.8,Bard,Senna,Amumu
Kongo TV Dzicz,724LP,54.6%,59.6%,301.0,2.3,Karma,Annie,Nautilus
MaÏaquiÃ±Ã¸,723LP,55.4%,48.2%,452.0,0.8,Katarina,Syndra,Ahri
nicolaiy,722LP,52.4%,52.1%,452.0,1.1,Graves,Vi,Wukong
FutureWorldsMvp,721LP,52.3%,45.0%,414.0,0.6,Swain,Sylas,Syndra
Roberto Zhonya,721LP,52.7%,39.7%,413.0,0.8,K'Sante,Jayce,Gnar
kanaaa,721LP,53.0%,61.3%,447.0,0.9,Gragas,Hecarim,Karthus
Quoizamama,720LP,53.8%,56.2%,329.0,2.5,Bard,Lux,Rammus
junghong1483369,720LP,51.5%,55.6%,397.0,1.1,Olaf,Jarvan IV,Vi
a fat pig,720LP,62.3%,53.8%,474.0,1.3,Sylas,Diana,Graves
lalalalalalaaala,720LP,60.8%,53.1%,407.0,1.2,Elise,Wukong,Sejuani
NÎ±sser,720LP,52.1%,55.8%,415.0,1.0,Wukong,Sylas,Vi
KÃ¢t l Ã¯ Ãm,718LP,56.3%,39.2%,436.0,0.6,Jax,Garen,Olaf
RXBXCXP,718LP,58.2%,38.1%,408.0,1.2,K'Sante,Jax,Aatrox
badrolebadplayer,717LP,54.1%,37.7%,445.0,0.6,Jax,Gangplank,Sion
Emil123,714LP,54.9%,44.6%,422.0,0.8,Ekko,Syndra,Cassiopeia
moon angel,714LP,51.7%,56.1%,447.0,0.8,Evelynn,Kha'Zix,Diana
DONTBECRY,714LP,63.6%,59.1%,478.0,1.1,Jayce,Ezreal,Varus
Kronisk Skeptisk,714LP,55.3%,59.9%,294.0,2.3,Karma,Nautilus,Nami
ronaldoo,713LP,53.1%,53.8%,459.0,1.0,Ezreal,Twitch,Varus
R0CK Gucio,713LP,61.7%,57.8%,413.0,0.8,Vi,Wukong,Sejuani
Flaystation AdAc,712LP,52.9%,51.1%,460.0,0.6,Ezreal,Sivir,Zeri
ÏÏÏÎ¿ÏÎ®Ï,711LP,57.1%,56.0%,317.0,2.2,Blitzcrank,Pyke,Nautilus
ALK Kross,711LP,53.7%,48.4%,453.0,1.0,Samira,Varus,Brand
Bollito de Cacao,710LP,52.5%,47.3%,428.0,0.8,Akali,Ryze,Syndra
GIA Stend v2,708LP,51.8%,59.8%,317.0,2.5,Pyke,Rakan,Ashe
Franek Ocean,708LP,53.5%,53.0%,474.0,0.8,Caitlyn,Ezreal,Seraphine
ratsbar,707LP,53.2%,49.4%,448.0,1.0,Ezreal,Draven,Zeri
Sebeks,707LP,59.3%,45.1%,423.0,1.1,Tristana,Syndra,Annie
NOTMIDKING,707LP,56.2%,45.9%,466.0,0.7,Zed,Irelia,Akali
Lvsyan,706LP,55.5%,45.5%,436.0,1.1,Ryze,Yone,Cassiopeia
UP5 Colak28,706LP,53.2%,53.3%,278.0,1.5,Blitzcrank,Ashe,Seraphine
Kritias,696LP,52.4%,38.2%,377.0,0.5,Shen,Karma,K'Sante
ÃitchAre,706LP,55.5%,38.8%,422.0,0.6,Darius,Jax,Shaco
dehastee,706LP,55.1%,47.1%,458.0,0.8,Syndra,Ryze,Akali
Kakan,705LP,53.4%,35.5%,423.0,0.9,Jayce,Gnar,Gragas
AzirKasier,703LP,52.7%,38.4%,391.0,0.4,K'Sante,Jax,Nasus
S8DiamondDog,703LP,59.4%,41.6%,424.0,0.7,Yasuo,Yone,Akali
sataru6418719074,703LP,56.3%,54.7%,432.0,0.8,Udyr,Maokai,Dr. Mundo
4th June,702LP,53.9%,57.8%,320.0,2.4,Karma,Ashe,Rakan
Ushuala,700LP,54.0%,40.2%,393.0,0.7,Ornn,Karthus,Ryze
1v2 Veteran,700LP,53.0%,37.0%,447.0,0.8,Yone,Kled,Olaf
CG Einard,700LP,52.6%,47.2%,423.0,0.7,Syndra,Zoe,Viktor
XÎ¥Î,700LP,57.8%,35.9%,414.0,0.6,Darius,Sion,Amumu
buff mercy ga,700LP,53.1%,57.8%,294.0,2.3,Lulu,Karma,Nautilus
Baron Praxis,700LP,52.7%,52.8%,400.0,0.9,Maokai,Taliyah,Vi
wo de baobei,699LP,55.5%,47.1%,431.0,0.8,Talon,Qiyana,Elise
Noooooooox,698LP,52.6%,50.7%,443.0,0.6,Akshan,Zoe,Syndra
Sc4rfac3,698LP,55.6%,34.9%,412.0,0.8,Jax,K'Sante,Olaf
21kid,698LP,57.4%,55.5%,438.0,1.0,Graves,Elise,Karma
awav,698LP,55.7%,54.6%,396.0,1.4,Fiddlesticks,Poppy,Diana
Chryssey,698LP,53.5%,51.1%,453.0,0.9,Zeri,Xayah,Caitlyn
Boltox,698LP,54.2%,56.0%,303.0,2.2,Karma,Nami,Nautilus
FaithXD,697LP,52.3%,57.4%,401.0,1.0,Elise,Lee Sin,Sejuani
Deadhound,697LP,54.7%,52.6%,418.0,1.1,Varus,Kai'Sa,Ezreal
Maokrysia,697LP,53.9%,55.9%,427.0,1.2,Lee Sin,Wukong,Elise
Wufo9,696LP,53.0%,35.4%,444.0,0.6,K'Sante,Kled,Jax
Pipibaat Yarr,696LP,53.5%,52.8%,416.0,1.0,Gragas,Bel'Veth,Ivern
sIow and steady,695LP,52.0%,59.0%,448.0,0.9,Kindred,Graves,Lee Sin
4zr,694LP,56.1%,44.3%,424.0,0.7,Sylas,Qiyana,Viktor
Top Steve,693LP,52.7%,28.8%,465.0,0.4,Illaoi,Sion,Gnar
Wanna go korea,693LP,57.3%,38.3%,465.0,0.7,Jax,Jayce,Gangplank
Kikis,692LP,52.9%,55.2%,416.0,1.1,Lee Sin,Graves,Vi
Veecto,691LP,55.7%,40.9%,447.0,0.9,Quinn,Illaoi,Neeko
Adam SmÎ±sher,691LP,55.1%,52.3%,509.0,0.7,Samira,Zeri,Vladimir
Smailord,691LP,54.2%,53.1%,460.0,0.7,Ezreal,Caitlyn,Jhin
Just an engineer,691LP,53.8%,52.4%,315.0,2.0,Heimerdinger,Janna,Nautilus
WORLDS2023,690LP,52.6%,42.6%,439.0,0.9,Irelia,Azir,Akali
Daniel Seavey,689LP,53.0%,48.2%,400.0,0.8,Caitlyn,Amumu,Varus
Obstinatus,689LP,52.6%,58.5%,316.0,2.9,Ashe,Nautilus,Karma
Relac,688LP,54.1%,42.2%,435.0,0.5,Akshan,Gangplank,Ryze
PI Blade40,687LP,54.0%,60.0%,280.0,2.2,Rakan,Rell,Alistar
DizL1,686LP,53.5%,54.1%,490.0,0.8,Kalista,Ezreal,Zeri
KOI zhavm,685LP,54.7%,58.3%,490.0,1.1,Senna,Caitlyn,Ezreal
da go lapa6,685LP,58.3%,53.1%,449.0,1.1,Kindred,Lee Sin,Gnar
knight9Å¼Å¼,685LP,54.6%,46.8%,447.0,0.8,Jayce,Sylas,Irelia
Advienne,685LP,53.0%,59.3%,319.0,2.3,Ashe,Nautilus,Pyke
solukmavinokta,684LP,56.7%,54.5%,296.0,2.2,Nautilus,Ashe,Lux
Crowno,682LP,52.9%,36.6%,404.0,1.0,K'Sante,Sion,Fiora
hey im marcel,682LP,57.8%,36.3%,426.0,0.7,Jax,K'Sante,Irelia
UlÃ­,681LP,55.6%,56.0%,295.0,1.9,Amumu,Annie,Senna
lflphl,680LP,51.9%,49.9%,410.0,0.8,Akali,Lissandra,Orianna
sebbylul,679LP,54.9%,49.9%,464.0,0.6,Draven,Caitlyn,Samira
reptilezero,679LP,52.7%,32.3%,412.0,0.7,Jax,Graves,Ornn
GODSANE ADC,678LP,53.1%,49.5%,433.0,0.9,Caitlyn,Twitch,Kai'Sa
Dark Aura,651LP,53.6%,53.1%,430.0,0.8,Kayn,Bel'Veth,Amumu
Yazmatti,677LP,58.2%,51.9%,379.0,1.1,Soraka,Lucian,Xayah
LÎ£NNY,676LP,56.1%,53.2%,517.0,0.9,Kalista,Xayah,Tristana
twtv XQ01LoL,675LP,53.6%,39.4%,466.0,0.7,Zed,Yone,Tryndamere
Lagolinas,674LP,62.6%,44.1%,426.0,0.8,K'Sante,Akshan,Zoe
Ipados,673LP,54.7%,52.9%,391.0,0.6,Swain,Lux,Aurelion Sol
ECO TeaZing,673LP,54.5%,55.7%,301.0,2.0,Blitzcrank,Heimerdinger,Ashe
AkabaneKINGGGG,672LP,52.2%,57.7%,423.0,0.9,Viego,Lee Sin,Wukong
Zei Ruo,672LP,57.5%,55.2%,524.0,1.0,Samira,Jinx,Vayne
J1MIZERA1337,671LP,52.8%,54.2%,452.0,1.1,Lee Sin,Kai'Sa,Graves
IlllIlllIIIIlII,670LP,56.4%,49.4%,466.0,0.8,Varus,Samira,Kalista
SalvatoreGanacci,670LP,56.8%,55.5%,475.0,0.9,Varus,Kalista,Lucian
Athins,670LP,52.4%,55.5%,450.0,0.7,Hecarim,Kha'Zix,Yasuo
TwtvCrazyadri1v9,669LP,51.4%,52.0%,465.0,0.8,Kai'Sa,Caitlyn,Tristana
Anechek,669LP,56.8%,56.4%,441.0,1.3,Bard,Sylas,Gragas
Kusa o Miko,669LP,52.2%,50.2%,426.0,0.8,Kayn,Master Yi,Kled
Bruce WÃ¤yne,667LP,53.2%,41.3%,452.0,1.0,Gangplank,Jayce,Garen
chads int acc,667LP,57.3%,51.0%,432.0,0.8,Yasuo,Viktor,Qiyana
FÃ¬ndus,667LP,52.9%,58.7%,385.0,1.2,Jarvan IV,Trundle,Karma
40yo glinomes,666LP,58.2%,56.9%,303.0,2.0,Karma,Nautilus,Lulu
Villager1,666LP,57.1%,56.9%,332.0,2.5,Karma,Pyke,Heimerdinger
BurgerMÃ¤ker,666LP,53.7%,41.5%,431.0,0.7,Syndra,Ryze,Sylas
Guter ZÃ¸ck,665LP,55.2%,50.2%,397.0,1.3,Caitlyn,Xayah,Twitch
nvidek,664LP,52.7%,54.2%,417.0,0.9,Hecarim,Sylas,Maokai
GoB PXXL,663LP,54.2%,38.1%,438.0,0.7,Gnar,Kled,K'Sante
k1ngHammo,662LP,56.5%,49.1%,456.0,0.9,Zeri,Ezreal,Samira
waterenjoyer123,661LP,53.2%,40.0%,412.0,1.0,K'Sante,Jax,Jayce
UnlookyPoopy,660LP,52.9%,52.2%,329.0,2.1,Blitzcrank,Xerath,Thresh
Aesenar,660LP,53.5%,55.3%,294.0,2.1,Nautilus,Karma,Lux
L9 frantisekhrom,659LP,55.8%,61.5%,312.0,2.4,Lulu,Nautilus,Karma
seungryong,659LP,52.5%,49.4%,452.0,0.8,Samira,Xayah,Varus
Nemiens,658LP,54.3%,33.9%,407.0,0.7,Sett,Volibear,Mordekaiser
STEFAN JITARU,657LP,53.7%,41.2%,374.0,0.6,Tahm Kench,Lissandra,Shen
lllllllllllllllp,657LP,53.0%,49.2%,428.0,1.0,Kindred,Zac,Ashe
Number 101,656LP,55.0%,49.1%,455.0,0.9,Taliyah,Jayce,Zoe
Aminatoooo,655LP,54.0%,36.0%,418.0,0.7,Fiora,Renekton,Jax
chaushutak1,655LP,54.1%,38.9%,435.0,0.6,Jayce,Jax,Irelia
Winter 69,655LP,56.7%,48.4%,461.0,0.9,Zeri,Ezreal,Tristana
Benn Beckman4,655LP,51.5%,56.5%,293.0,2.2,Nautilus,Yuumi,Nami
EI0SANTA,654LP,53.2%,53.1%,428.0,0.4,Karthus,Draven,Varus
Sangrod,654LP,51.5%,38.1%,435.0,0.9,K'Sante,Camille,Jayce
S Tier Mid,653LP,53.3%,46.4%,424.0,0.7,Syndra,Ryze,Tristana
NiuNai,653LP,52.7%,51.1%,406.0,1.0,Maokai,Elise,Lee Sin
C Crits,653LP,56.2%,52.7%,418.0,1.2,Elise,Nocturne,Rumble
JL Sayn,652LP,57.1%,44.0%,417.0,0.9,Yone,Viktor,Thresh
spamming games,652LP,57.4%,60.2%,457.0,0.7,Evelynn,Master Yi,Elise
Zackary911,652LP,52.6%,46.4%,446.0,0.6,Kled,Warwick,Twitch
CG Nicolo,652LP,53.0%,54.4%,456.0,0.6,Kha'Zix,Vi,Elise
AXLYBUVRHF,651LP,53.9%,60.4%,321.0,2.4,Ashe,Heimerdinger,Nautilus
Chasyzz,650LP,53.4%,42.1%,453.0,0.9,Jax,Jayce,Gnar
pumpybIo,650LP,52.3%,46.7%,419.0,1.1,Syndra,LeBlanc,Karma
Smietanek,650LP,50.8%,47.9%,462.0,0.5,Ekko,Kayle,Xayah
im a cÏte girl,650LP,60.2%,55.6%,338.0,1.6,Zyra,Blitzcrank,Soraka
Saint Kaipo,650LP,55.9%,45.3%,449.0,0.5,Kayle,Nasus,Kassadin
FATEOFDEATHXXXXX,649LP,58.8%,54.2%,425.0,1.0,Lee Sin,Jarvan IV,Viego
Nightmares,649LP,53.7%,58.5%,325.0,1.6,Ashe,Karma,Xerath
Tmonrein Mental,648LP,53.0%,55.0%,434.0,1.2,Elise,Vi,Lee Sin
Asa MitakÎ±,648LP,62.9%,53.2%,463.0,1.0,Senna,Sivir,Lucian
month of rain,648LP,51.1%,51.7%,437.0,0.9,Varus,Ezreal,Caitlyn
lil tooshi,647LP,53.0%,56.8%,464.0,1.4,Graves,Sylas,Nidalee
Photon1,647LP,56.6%,40.7%,481.0,0.9,Jax,Jayce,Akshan
Babygirl Laura,646LP,51.7%,58.7%,294.0,1.8,Karma,Yuumi,Ashe
Veignorem,646LP,52.1%,57.8%,308.0,2.4,Nautilus,Ashe,Heimerdinger
ENOUGH IS ENÃUGH,645LP,52.6%,48.8%,431.0,0.8,Udyr,Tryndamere,Hecarim
AD RAT,644LP,52.6%,55.6%,457.0,0.8,Twitch,Tristana,Sivir
ayekasia,643LP,53.8%,57.5%,298.0,2.6,Nami,Nautilus,Thresh
Nipple Action,643LP,54.4%,53.5%,451.0,1.0,Lee Sin,Jarvan IV,Blitzcrank
PCS Icarus,643LP,53.4%,51.0%,434.0,0.9,Lee Sin,Elise,Bel'Veth
HappySadValiant,642LP,54.0%,47.5%,444.0,0.8,Zed,Aurelion Sol,Ryze
Oblivion Blade,641LP,54.8%,51.0%,442.0,0.6,Udyr,Hecarim,Volibear
lur1keen,641LP,58.1%,58.3%,292.0,2.2,Nautilus,Ashe,Lux
Hoketo,640LP,56.0%,55.6%,308.0,2.2,Karma,Ashe,Nautilus
spaghetti bud,640LP,51.6%,59.9%,290.0,2.0,Sona,Nami,Lulu
DBE Devn,639LP,55.0%,52.6%,437.0,1.1,Varus,Caitlyn,Kai'Sa
OSV Kyzard,639LP,54.9%,48.0%,443.0,0.8,Yasuo,Ryze,Ahri
SupremeG0at,638LP,55.3%,43.4%,395.0,0.5,Akali,Ahri,K'Sante
STREAMEZ YVNNIS,638LP,56.7%,56.6%,288.0,2.3,Nautilus,Karma,Thresh
chowoo,638LP,55.6%,38.7%,476.0,0.7,Gnar,Jax,Jayce
Booshi,638LP,53.9%,51.1%,435.0,0.9,Varus,Kai'Sa,Xayah
KikiiEnClaket,638LP,53.8%,55.8%,402.0,1.1,Maokai,Vi,Elise
Rafitta,638LP,53.8%,52.5%,474.0,0.9,Ezreal,Caitlyn,Kalista
Goblin66,637LP,53.8%,53.3%,294.0,1.8,Karma,Lux,Senna
Redfernal,637LP,58.6%,58.1%,303.0,2.3,Nautilus,Nami,Karma
DKB Sinnlos,635LP,50.9%,58.3%,324.0,2.4,Swain,Karma,Renata Glasc
e ti de quen ves,635LP,51.8%,38.7%,406.0,0.9,Gnar,Sett,Illaoi
swr99,635LP,51.8%,55.2%,436.0,1.1,Wukong,Lee Sin,Graves
Emiw,634LP,53.2%,35.4%,397.0,0.6,Riven,K'Sante,Akali
SK Irrelevant,632LP,52.4%,39.7%,448.0,0.7,Camille,Sion,Jax
D X X L L,631LP,50.9%,56.6%,317.0,2.2,Ashe,Heimerdinger,Nautilus
Gamydas,631LP,53.1%,44.8%,435.0,0.6,Bel'Veth,Renekton,Camille
Goldenpenny,630LP,57.1%,47.6%,460.0,1.2,Caitlyn,Lucian,Ezreal
FOX M0NK,630LP,53.2%,46.2%,452.0,0.8,Lucian,Varus,Ashe
IGNORE TÎP,630LP,56.0%,55.6%,362.0,2.1,Anivia,Soraka,Lissandra
INT Chonky,630LP,54.6%,49.7%,462.0,0.6,Ezreal,Tristana,Caitlyn
VlÃ dik,629LP,50.9%,38.7%,431.0,0.8,Camille,Fiora,Jax
RainÎngel,628LP,54.3%,42.3%,434.0,0.5,Yasuo,Zed,Yone
ER54DSW,628LP,54.3%,37.9%,415.0,0.8,Azir,Syndra,Jayce
lG YSKM,628LP,56.1%,38.0%,473.0,0.9,Jayce,Jax,Gangplank
CHOI RAT,627LP,52.0%,51.9%,418.0,1.2,Wukong,Elise,Vi
need patience,627LP,53.3%,41.3%,442.0,0.8,Jax,Gangplank,Irelia
Cronan,627LP,54.8%,43.5%,433.0,0.8,Irelia,Zoe,LeBlanc
TwTv Lorlor,627LP,51.3%,50.1%,414.0,1.2,Karma,Cassiopeia,Ryze
Dongus Maximus69,626LP,55.9%,55.7%,382.0,0.8,Nunu & Willump,Sejuani,Maokai
PCS TrongoloÃ¯d,625LP,53.0%,54.9%,306.0,2.0,Karma,Nautilus,Nami
Thelordmardigo,625LP,54.3%,35.4%,474.0,0.8,Illaoi,Ornn,Akshan
pray2God,625LP,56.4%,50.0%,468.0,0.8,Caitlyn,Ezreal,Zeri
I will comeback,625LP,54.0%,39.2%,466.0,0.7,Gangplank,Fiora,Renekton
El Camino provee,625LP,57.3%,52.2%,332.0,1.6,Gragas,Nautilus,Jayce
ViV MEGAZORD X7,625LP,53.5%,58.6%,295.0,2.6,Nami,Sona,Lux
11 CSM,624LP,51.2%,49.2%,440.0,0.7,Caitlyn,Varus,Ashe
JANGO XDDHAHAHA,624LP,51.8%,51.9%,313.0,2.0,Pyke,Thresh,Nautilus
Remix iwnl,624LP,51.3%,48.7%,433.0,0.8,Sivir,Varus,Jhin
techoteco,623LP,53.6%,55.3%,410.0,0.8,Skarner,Vi,Zac
PinkMin v2,623LP,54.6%,58.2%,289.0,1.8,Karma,Nautilus,Ashe
Quicksie,623LP,53.8%,44.2%,418.0,0.8,Ryze,Anivia,Akali
Anechek dog,622LP,52.5%,55.8%,423.0,1.3,Bel'Veth,Sylas,Elise
NS ShowfÎ±ker,622LP,54.6%,47.1%,377.0,1.0,Gragas,Cassiopeia,Zoe
Hellman,622LP,54.9%,47.5%,475.0,0.9,Ezreal,Xayah,Zeri
Eszper,622LP,55.9%,34.4%,385.0,0.6,Sion,Camille,Gragas
TacticaI Rage,622LP,62.0%,57.4%,466.0,1.6,Elise,Graves,Kindred
Ïeel for Me,621LP,54.4%,42.9%,399.0,0.9,Renekton,Ornn,Karma
HMPeiWan Ãir,620LP,53.0%,42.6%,460.0,0.8,Azir,Jayce,Ryze
van goose,620LP,53.1%,39.3%,450.0,0.6,Graves,Gangplank,Jax
OniiKhan,619LP,53.1%,46.1%,415.0,0.9,Syndra,Ryze,Ashe
psptk,619LP,54.6%,35.7%,416.0,0.6,Jax,Camille,Sion
LEC ADC 2024,619LP,53.8%,55.2%,489.0,0.6,Samira,Caitlyn,Draven
Zaremba,619LP,51.8%,56.1%,311.0,2.5,Ashe,Heimerdinger,Nami
Klaj,618LP,54.7%,54.3%,287.0,2.4,Ashe,Rakan,Leona
dumb maciek,617LP,54.5%,59.7%,352.0,2.2,Twitch,Ashe,Nami
PapiTeero,617LP,52.2%,34.7%,413.0,0.6,Camille,Gnar,Renekton
Lovelorn,616LP,51.8%,57.8%,461.0,0.9,Kayn,Nidalee,Bel'Veth
Furuy,616LP,53.0%,49.8%,410.0,0.8,Ryze,Azir,Jayce
eodigangeoni,616LP,53.9%,58.0%,427.0,1.0,Elise,Karthus,Zac
UberEats Zamulek,614LP,53.6%,48.5%,454.0,1.2,Caitlyn,Zeri,Varus
Bananiasty,614LP,52.4%,50.2%,392.0,0.9,Maokai,Wukong,Udyr
Cast,614LP,53.6%,55.8%,443.0,1.0,Kindred,Jhin,Bel'Veth
Kobold Tunneler,614LP,54.8%,43.8%,452.0,0.9,Jayce,Azir,Renekton
Shadowraze,614LP,57.3%,45.3%,438.0,0.7,Jayce,Sylas,Akali
mid kr,562LP,53.3%,41.6%,404.0,0.6,Akali,Sylas,Irelia
ruep,613LP,56.2%,49.7%,481.0,0.8,Zeri,Caitlyn,Varus
MR WHITEEEEEE,613LP,54.1%,47.6%,444.0,0.7,Caitlyn,Varus,Zeri
REVIENS A KONOHA,613LP,53.0%,37.5%,443.0,0.8,Garen,Nunu & Willump,Fiora
IAC 2023,613LP,54.5%,59.0%,293.0,1.9,Nautilus,Karma,Ashe
GetsugÃ¡ Tensho,612LP,55.2%,63.2%,328.0,2.1,Karma,Nami,Janna
DemonadcHACK100,612LP,52.1%,49.0%,484.0,0.9,Draven,Varus,Kai'Sa
Morfariusss,612LP,52.8%,63.7%,363.0,0.8,Ivern,Shaco,Diana
Fressko,612LP,54.1%,46.9%,446.0,1.0,Sylas,Syndra,Ryze
Goshuujin,611LP,52.5%,48.0%,471.0,0.9,Draven,Kai'Sa,Zeri
TPAA nrmn,575LP,52.0%,46.2%,438.0,1.1,Caitlyn,Senna,Xayah
TollkÃ¼hn,610LP,53.3%,36.3%,430.0,0.8,Fiora,Renekton,Gwen
ScriptIess,610LP,51.7%,50.5%,466.0,0.9,Draven,Kai'Sa,Varus
Max le chibrax,0LP,59.4%,54.2%,422.0,0.7,Wukong,Vi,Volibear
T1 Poro,609LP,54.8%,46.0%,421.0,1.1,Syndra,Ahri,Taliyah
1v1 me labrov,608LP,53.5%,56.6%,284.0,2.4,Nautilus,Ashe,Karma
BTC NuQ,608LP,56.2%,42.0%,439.0,1.1,Jax,Jayce,Irelia
Dia Kektz,608LP,58.3%,36.9%,438.0,0.8,Renekton,Jax,Sion
Waratawra,608LP,54.1%,44.7%,437.0,0.8,Zed,Syndra,Jayce
Einfach Pan,608LP,51.0%,59.7%,309.0,2.3,Nami,Rakan,Lux
DMN Baran,607LP,51.3%,50.8%,408.0,0.9,Wukong,Elise,Sejuani
Iziio,607LP,60.4%,35.3%,456.0,0.8,Yone,Yasuo,Camille
lpl movement,607LP,53.6%,54.0%,483.0,0.7,Kalista,Zeri,Varus
CRKN,606LP,51.9%,55.7%,422.0,1.0,Elise,Xin Zhao,Diana
vielBonk,606LP,52.8%,46.9%,465.0,0.7,Xayah,Caitlyn,Ezreal
rucham was,606LP,58.3%,48.4%,398.0,1.0,Maokai,Elise,Viego
jokaa0,605LP,50.4%,53.9%,416.0,0.8,Elise,Maokai,Udyr
ratio,605LP,57.2%,45.7%,345.0,0.5,Shen,Camille,Darius
Meshade1,605LP,53.3%,50.4%,456.0,0.6,Varus,Lucian,Zeri
Practice,604LP,56.6%,50.0%,467.0,0.9,Sivir,Ezreal,Lucian
Sigwil,604LP,53.2%,49.9%,354.0,1.1,Zilean,Karma,Katarina
Xu Linsen,604LP,54.0%,60.7%,442.0,1.1,Sylas,Elise,Lee Sin
Vzz0,603LP,53.3%,54.5%,485.0,0.7,Caitlyn,Zeri,Draven
Purple0,603LP,56.5%,65.4%,321.0,1.9,Lulu,Karma,Ashe
N0T A FAN,602LP,54.2%,47.4%,437.0,0.8,Ezreal,Caitlyn,Xayah
fight dog,602LP,57.1%,38.7%,441.0,1.0,Fiora,Renekton,Jax
hoIding spacebar,602LP,54.1%,50.8%,426.0,0.8,Zeri,Ezreal,Kai'Sa
Saku,601LP,55.6%,44.8%,437.0,0.9,Cho'Gath,Karma,Pantheon
K BryÃ¡nt,601LP,52.0%,61.5%,430.0,1.2,Bel'Veth,Lee Sin,Viego
Bailando Alistar,600LP,52.5%,56.5%,328.0,2.4,Pyke,Karma,Nautilus
FatShield,600LP,54.4%,36.4%,406.0,0.8,Ornn,Aatrox,Fiora
FUT Mojito,599LP,54.1%,53.4%,451.0,1.0,Sylas,Kindred,Nidalee
SÏng Jin WoÃ¸,599LP,54.8%,61.0%,289.0,2.0,Rakan,Renata Glasc,Nami
Winter1z,599LP,52.2%,44.9%,430.0,0.7,Kassadin,Ekko,Tristana
VIT Neon1,598LP,55.3%,52.2%,485.0,0.7,Ezreal,Lucian,Caitlyn
eskÃ­Ã­,597LP,51.3%,56.9%,287.0,2.1,Karma,Nautilus,Alistar
Fabi0o,597LP,53.0%,62.4%,395.0,1.4,Senna,Jhin,Caitlyn
Eyes Of Failure,597LP,52.2%,44.5%,460.0,1.1,Irelia,Syndra,Ryze
NeiZuah,597LP,58.7%,52.5%,400.0,1.3,Fiddlesticks,Elise,Kayn
lothen 2115,597LP,53.2%,47.3%,447.0,0.7,Zeri,Ezreal,Varus
